userID,Gender,Age,DAT,Tenant,Price,category_big,category_mid,category_small,Address
AVW21188,여성,30대,2021-05-23 23:47,리안헤어,118000,전문점/일반테넌트,서비스,뷰티케어,서울특별시 서대문구
XNC76640,여성,30대,2022-06-29 20:38,무지,61700,전문점/일반테넌트,라이프스타일,홈퍼니싱토탈,서울특별시 양천구
QIP56260,여성,40대,2021-04-01 20:57,H&M,29000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 양천구
FXJ51660,여성,40대,2024-12-03 21:18,알파문구,24600,전문점/일반테넌트,라이프스타일,문구/선물,서울특별시 서초구
XBS06396,여성,30대,2021-10-07 2:41,베이직하우스,184200,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 강남구
DYN89502,남성,30대,2024-02-07 23:27,풋마트,595000,전문점/일반테넌트,패션잡화,신발멀티,서울특별시 중랑구
TAY42393,여성,30대,2023-11-04 22:26,사위식당,16000,F&B,레스토랑,한식,서울특별시 강남구
PVC33138,여성,40대,2025-12-17 3:13,던킨도너츠,3900,F&B,테이크아웃,베이커리,서울특별시 중구
JJD23428,여성,30대,2021-09-12 21:47,SPAO,7000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 송파구
XII29055,여성,30대,2021-12-13 3:40,간식여왕,18900,F&B,카페,기타음료,서울특별시 금천구
EUE71638,남성,20대,2021-09-06 13:20,파리바게트,3300,F&B,카페,베이커리,서울특별시 광진구
PNR49668,여성,40대,2021-04-11 1:37,감미옥,26000,F&B,레스토랑,한식,서울특별시 성동구
WYI99284,남성,50대,2022-06-23 8:02,파리바게트,4410,F&B,카페,베이커리,서울특별시 은평구
IZS61732,여성,30대,2024-12-27 10:01,서울전통육개장,17000,F&B,레스토랑,한식,서울특별시 중랑구
UBS60623,여성,40대,2024-03-02 14:35,슈퍼타이,10900,F&B,레스토랑,아시안,서울특별시 광진구
JXI80345,여성,40대,2025-06-08 16:28,아베크롬비,40000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 강남구
TVC54243,남성,50대,2023-01-25 17:34,이디야,9600,F&B,카페,커피,서울특별시 용산구
ZCS58413,여성,30대,2021-11-07 16:01,폰갤러리,5000,전문점/일반테넌트,라이프스타일,기타라이프스타일,서울특별시 종로구
VPY97224,여성,30대,2023-03-23 1:23,버버리,237600,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 양천구
YNJ83639,여성,60대,2025-09-19 7:20,공차,6900,F&B,카페,기타음료,서울특별시 성동구
DVU73947,남성,40대,2025-09-08 17:08,고반식당,20000,F&B,레스토랑,한식,서울특별시 서초구
MVQ73486,여성,30대,2025-12-24 4:26,메가커피,30900,F&B,카페,기타음료,서울특별시 양천구
TED83264,여성,60대,2022-06-15 14:57,캘빈클라인,102000,전문점/일반테넌트,패션잡화,언더웨어,서울특별시 영등포구
JQU65667,남성,30대,2021-09-15 23:18,유니언,15800,F&B,카페,커피,서울특별시 강남구
MQP43451,여성,30대,2023-10-17 5:41,올리브영,14400,전문점/일반테넌트,H&B,H&B멀티샵,서울특별시 강서구
SFF47178,여성,30대,2024-11-08 10:47,라인프렌즈,6500,전문점/일반테넌트,라이프스타일,리빙소품,서울특별시 서초구
YET09768,여성,30대,2025-02-26 22:13,공차,5900,F&B,카페,기타음료,서울특별시 영등포구
QDO96369,남성,30대,2024-09-08 9:10,롤링파스타,214800,F&B,레스토랑,양식,서울특별시 강북구
BNF64306,여성,30대,2021-01-23 3:29,공차,3920,F&B,카페,기타음료,서울특별시 성동구
REU23902,여성,40대,2023-04-12 6:45,김가네,3500,F&B,레스토랑,분식,서울특별시 영등포구
CFJ23064,여성,20대,2024-02-27 13:00,더바디샵,15000,전문점/일반테넌트,H&B,바디/향수,서울특별시 서초구
BKT19022,여성,30대,2024-12-30 9:17,폰토피아,9900,전문점/일반테넌트,라이프스타일,기타라이프스타일,서울특별시 노원구
RPU32278,여성,40대,2023-08-15 16:00,아디다스,144000,전문점/일반테넌트,패션잡화,캐주얼신발,서울특별시 중랑구
EVW18406,여성,30대,2025-08-10 12:15,돼지게티,40600,F&B,레스토랑,양식,서울특별시 강동구
DVI16149,여성,40대,2024-04-09 18:22,H&M,61000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 관악구
CZW59129,남성,60대,2022-04-13 22:12,유치회관,40000,F&B,레스토랑,한식,서울특별시 동작구
UDU22052,여성,40대,2023-10-31 2:31,폰갤러리(2호점),25000,전문점/일반테넌트,라이프스타일,기타라이프스타일,서울특별시 강북구
NUL88388,남성,30대,2022-05-23 10:53,H&M,70000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 관악구
TJE23971,여성,40대,2025-03-18 0:14,무지,25900,전문점/일반테넌트,라이프스타일,홈퍼니싱토탈,서울특별시 동작구
NUL88388,남성,30대,2023-12-21 8:52,롤링파스타,33000,F&B,레스토랑,양식,서울특별시 관악구
SHT73061,남성,30대,2025-08-16 3:36,보배반점,250320,F&B,레스토랑,중식,서울특별시 송파구
ZNT78884,여성,40대,2022-08-28 11:29,포메인,24000,F&B,레스토랑,아시안,서울특별시 영등포구
NVY67744,여성,40대,2025-11-29 13:43,커피빈,17500,F&B,카페,커피,서울특별시 동대문구
EAE16528,남성,40대,2021-11-29 2:34,샐러디,15020,F&B,푸드코트,기타F&B,서울특별시 서대문구
OPH40040,여성,20대,2021-06-06 8:03,알파문구,2000,전문점/일반테넌트,라이프스타일,문구/선물,서울특별시 은평구
QAY22041,여성,30대,2022-07-16 6:27,메가커피,10500,F&B,카페,기타음료,서울특별시 서대문구
PGU34545,남성,60대,2024-03-20 3:49,H&M,97000,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 금천구
AHD45390,여성,30대,2023-01-09 13:07,잭슨피자,41600,F&B,레스토랑,양식,서울특별시 강남구
FCD59194,여성,30대,2025-05-23 22:59,헤라,5900,전문점/일반테넌트,H&B,H&B멀티샵,서울특별시 성북구
VPY97224,여성,30대,2024-05-20 20:16,반스,57000,전문점/일반테넌트,패션잡화,캐주얼신발,서울특별시 양천구
KGR07249,여성,40대,2022-10-07 3:02,일바,7300,전문점/일반테넌트,라이프스타일,홈퍼니싱토탈,서울특별시 관악구
RSJ74130,여성,50대,2024-05-06 22:11,아이레시피,36300,전문점/일반테넌트,H&B,H&B멀티샵,서울특별시 송파구
SPH17929,여성,20대,2023-03-21 23:21,코이라멘,8000,F&B,레스토랑,일식,서울특별시 강동구
WCU90220,여성,30대,2024-07-16 21:01,폰갤러리(2호점),50000,전문점/일반테넌트,라이프스타일,기타라이프스타일,서울특별시 동작구
DMG28290,여성,50대,2023-03-27 12:26,커피빈,18000,F&B,카페,커피,서울특별시 광진구
PHX76111,남성,30대,2025-04-27 20:45,무신사,29900,전문점/일반테넌트,패션의류,유니섹스캐주얼,서울특별시 강서구
MAG79570,여성,30대,2021-09-26 0:35,던킨도너츠,3500,F&B,테이크아웃,베이커리,서울특별시 서대문구
